,0
0,-897.8172607421875
1,-905.0233154296875
2,-891.0345458984375
3,-898.0755615234375
4,-881.5689086914062
5,-911.8892211914062
6,-880.7763671875
7,-895.1270141601562
8,-876.3367919921875
9,-892.8030395507812
10,-899.6282958984375
11,-912.6239624023438
12,-862.7868041992188
13,-839.6209106445312
14,-845.0433349609375
15,-819.8776245117188
16,-803.160888671875
17,-766.987060546875
18,-733.3740234375
19,-648.7454833984375
20,-647.0902709960938
21,-584.1856689453125
22,-486.3647155761719
23,-469.5666809082031
24,-380.5160217285156
25,-292.22857666015625
26,-276.3875732421875
27,-268.6883239746094
28,-294.0079040527344
29,-251.7008056640625
30,-319.0232849121094
31,-305.9014892578125
32,-262.50653076171875
33,-211.26812744140625
34,-239.767333984375
35,-234.28060913085938
36,-321.11260986328125
37,-261.62066650390625
38,-332.5267639160156
39,-257.1938781738281
40,-268.37213134765625
41,-205.76275634765625
42,-228.89743041992188
43,-207.27511596679688
44,-162.7317657470703
45,-188.9987030029297
46,-179.6249542236328
47,-313.0144958496094
48,-169.02334594726562
49,-174.76239013671875
50,-167.11270141601562
51,-155.31381225585938
52,-140.1073455810547
53,-143.46249389648438
54,-149.99444580078125
55,-109.53453063964844
56,-118.65030670166016
57,-129.39620971679688
58,-136.6350555419922
59,-123.67076110839844
60,-85.34677124023438
61,-118.52244567871094
62,-102.6982192993164
63,-96.89736938476562
64,-95.61219787597656
65,-95.5517807006836
66,-86.44731140136719
67,-96.03009796142578
68,-71.39832305908203
69,-83.66508483886719
70,-95.78273010253906
71,-58.359886169433594
72,-76.26173400878906
73,-64.56097412109375
74,-125.51232147216797
75,-174.4864044189453
76,-65.91613006591797
77,-64.23345947265625
78,-122.88512420654297
79,-83.91357421875
80,-69.21923828125
81,-78.5639877319336
82,-106.46343994140625
83,-68.42361450195312
84,-78.25337982177734
85,-72.77269744873047
86,-47.7579345703125
87,-70.2243423461914
88,-66.30195617675781
89,-65.00152587890625
90,-74.35977935791016
91,-48.051963806152344
92,-62.56098937988281
93,-51.57220458984375
94,-55.365394592285156
95,-45.876007080078125
96,-65.75833129882812
97,-54.81736755371094
98,-68.45133972167969
99,-50.288169860839844
100,-73.52731323242188
101,-70.72172546386719
102,-70.41514587402344
103,-51.31703186035156
104,-79.94747924804688
105,-56.11558532714844
106,-62.79176330566406
107,-86.76448059082031
108,-64.91006469726562
109,-69.91801452636719
110,-56.19139862060547
111,-44.285430908203125
112,-35.89031219482422
113,-48.932373046875
114,-44.460044860839844
115,-55.849952697753906
116,-42.94695281982422
117,-63.296966552734375
118,-40.812965393066406
119,-55.20393371582031
120,0.0
