,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,inf
18,9.202831631600886e+28
19,1.1036180662112318e+21
20,168.09765625
21,5401.65185546875
22,1673.5177001953125
23,310.36895751953125
24,415.0920715332031
25,15679.8388671875
26,4683.99267578125
27,11088.57421875
28,18.370996475219727
29,10716.3349609375
30,2753.4853515625
31,1010.828369140625
32,101267.859375
33,21259.326171875
34,10685.98828125
35,28539.953125
36,170064.28125
37,18763.09765625
38,1999.7554931640625
39,40791.6171875
40,0.0
