,0
0,-543.477783203125
1,-542.7783813476562
2,-542.0748901367188
3,-541.433837890625
4,-540.9925537109375
5,-540.6779174804688
6,-540.510498046875
7,-540.2780151367188
8,-540.1204833984375
9,-539.9911499023438
10,-539.6707763671875
11,-539.66064453125
12,-539.4188232421875
13,-539.43701171875
14,-539.348876953125
15,-539.22802734375
16,-539.1786499023438
17,-539.1768188476562
18,-539.00244140625
19,-538.980224609375
20,-538.9240112304688
21,-538.9705200195312
22,-538.9149169921875
23,-538.758544921875
24,-538.6917724609375
25,-538.7450561523438
26,-538.691650390625
27,-538.6333618164062
28,-538.6513671875
29,-538.563232421875
30,-538.49853515625
31,-538.4053344726562
32,-538.3572387695312
33,-538.3695068359375
34,-538.41943359375
35,-538.3169555664062
36,-538.398193359375
37,-538.3511352539062
38,-538.2721557617188
39,-538.275634765625
40,-538.1735229492188
41,-538.1288452148438
42,-538.0796508789062
43,-538.0521850585938
44,-538.1309204101562
45,-538.11669921875
46,-538.0595703125
47,-538.0786743164062
48,-538.0306396484375
49,-538.0816040039062
50,-537.8334350585938
51,-538.0280151367188
52,-537.8854370117188
53,-537.9149780273438
54,-537.8654174804688
55,-537.9425048828125
56,-537.923828125
57,-537.9234008789062
58,-537.7637939453125
59,-537.9304809570312
60,-537.77294921875
61,-537.6959838867188
62,-537.7625122070312
63,-537.6957397460938
64,-537.5850219726562
65,-537.7467651367188
66,-537.6954956054688
67,-537.5305786132812
68,-537.6885375976562
69,-537.5684814453125
70,-537.5492553710938
71,-537.65234375
72,-537.590087890625
73,-537.5578002929688
74,-537.499755859375
75,-537.5548706054688
76,-537.4140014648438
77,-537.5682983398438
78,-537.4188842773438
79,-537.3164672851562
80,-537.3737182617188
81,-537.4444580078125
82,-537.3114013671875
83,-537.3870849609375
84,-537.4046630859375
85,-537.38134765625
86,-537.30712890625
87,-537.3412475585938
88,-537.3707275390625
89,-537.2518310546875
90,-537.1991577148438
91,-537.341552734375
92,-537.2391967773438
93,-537.129638671875
94,-537.1561889648438
95,-537.1558837890625
96,-537.1556396484375
97,-537.1362915039062
98,-537.1512451171875
99,-537.1607666015625
100,-537.0792846679688
101,-537.082275390625
102,-536.9838256835938
103,-537.165283203125
104,-537.1388549804688
105,-537.0332641601562
106,-536.9589233398438
107,-536.9276733398438
108,-536.9668579101562
109,-536.930908203125
110,-536.9653930664062
111,-537.1004638671875
112,-536.9483642578125
113,-537.0028076171875
114,-536.90576171875
115,-536.8987426757812
116,-536.9821166992188
117,-536.822265625
118,-536.9815673828125
119,-536.9265747070312
120,0.0
