,0
0,2.483765824231184e-09
1,3.574153719010644e-08
2,5.5609734943047355e-08
3,6.543833849488485e-08
4,7.011779442023034e-08
5,7.209841857064221e-08
6,7.271747801473045e-08
7,7.255392806369444e-08
8,7.238646891427345e-08
9,7.210050347644754e-08
10,7.17472089148099e-08
11,7.119339974950076e-08
12,7.075966055195053e-08
13,7.04281362858149e-08
14,7.017296563402619e-08
15,6.987347861232918e-08
16,6.950731703027096e-08
17,6.936691317013754e-08
18,6.93244817005358e-08
19,6.93809317373692e-08
20,6.939121080785121e-08
21,6.937656798103249e-08
22,6.936877382735333e-08
23,6.929946889164471e-08
24,6.923218825401451e-08
25,6.916954410749207e-08
26,6.905030446559166e-08
27,6.898070255202125e-08
28,6.887774214556581e-08
29,6.878790331198394e-08
30,6.87593934372508e-08
31,6.873596855080449e-08
32,6.884335332132351e-08
33,6.892939811120154e-08
34,6.890448833544619e-08
35,6.905652887914415e-08
36,6.91875809670171e-08
37,6.944653960173699e-08
38,7.003216782366793e-08
39,7.090116141194082e-08
40,7.198951254617803e-08
41,7.327454787574674e-08
42,7.448290837001597e-08
43,7.557488990709441e-08
44,7.625212064745997e-08
45,7.705060926703165e-08
46,7.826119406487807e-08
47,7.906469494346429e-08
48,7.998548995591747e-08
49,8.196579894614948e-08
50,8.404027416166392e-08
51,8.433454891884764e-08
52,8.658499866941232e-08
53,8.791523524170205e-08
54,8.803845075048702e-08
55,8.889239544017098e-08
56,8.912325633270064e-08
57,8.786250651930022e-08
58,8.65957747232549e-08
59,8.47358508609617e-08
60,8.365316654918952e-08
61,8.375779972890736e-08
62,8.357333405131861e-08
63,8.318915985282611e-08
64,8.305801079259011e-08
65,8.34015899356059e-08
66,8.348164062129363e-08
67,8.310487268702816e-08
68,8.241742954468017e-08
69,8.286659946949878e-08
70,8.236559781663645e-08
71,8.235362172980127e-08
72,8.27938156502662e-08
73,8.342837249012242e-08
74,8.373040503634917e-08
75,8.351251419737581e-08
76,8.316497130902086e-08
77,8.219633861772657e-08
78,8.095960158572339e-08
79,8.061747702815319e-08
80,7.99230397541211e-08
81,7.90920108459775e-08
82,7.849472775816396e-08
83,7.818507075989336e-08
84,7.774355559098205e-08
85,7.692929078009862e-08
86,7.646494468046459e-08
87,7.598893765417525e-08
88,7.511819856336766e-08
89,7.494891512136704e-08
90,7.451262433851437e-08
91,7.406712118117313e-08
92,7.374679116219568e-08
93,7.344308584270652e-08
94,7.335962294199439e-08
95,7.316607216614353e-08
96,7.289116763847661e-08
97,7.284085716437804e-08
98,7.31851090531624e-08
99,7.306900889151534e-08
100,7.289748296361946e-08
101,7.308987007111385e-08
102,7.330499113696794e-08
103,7.35284397044979e-08
104,7.422091328817846e-08
105,7.454755257152607e-08
106,7.465847683329599e-08
107,7.440486380008857e-08
108,7.443405248136297e-08
109,7.430155186881712e-08
110,7.441309432940141e-08
111,7.447113834945225e-08
112,7.4347498586579e-08
113,7.433207392008329e-08
114,7.44056213966748e-08
115,7.44824113866554e-08
116,7.413205023899966e-08
117,7.393079622105999e-08
118,7.375410651483234e-08
119,7.346407429853153e-08
120,0.0
