,0
0,-543.4273681640625
1,-520.4423217773438
2,-513.7809448242188
3,-511.2662658691406
4,-511.4314270019531
5,-511.5556945800781
6,-511.8819274902344
7,-510.3453369140625
8,-511.3462219238281
9,-511.2611083984375
10,-512.7133178710938
11,-512.43017578125
12,-511.2804870605469
13,-513.4032592773438
14,-511.646484375
15,-512.69140625
16,-512.3273315429688
17,-511.44427490234375
18,-512.767333984375
19,-511.6319580078125
20,-511.9186706542969
21,-511.035888671875
22,-512.0008544921875
23,-512.6519775390625
24,-512.5477905273438
25,-511.41729736328125
26,-512.0741577148438
27,-512.9365234375
28,-514.8564453125
29,-512.7078247070312
30,-512.01611328125
31,-511.8713073730469
32,-513.28662109375
33,-512.1000366210938
34,-512.4400024414062
35,-515.631103515625
36,-512.0755615234375
37,-511.8673095703125
38,-512.400390625
39,-512.6116943359375
40,-512.6763305664062
41,-511.910888671875
42,-511.8572082519531
43,-514.4417114257812
44,-513.2261962890625
45,-513.6686401367188
46,-511.9373779296875
47,-512.6669311523438
48,-511.8397216796875
49,-513.0635375976562
50,-511.3785400390625
51,-512.4578247070312
52,-510.9467468261719
53,-511.3611145019531
54,-512.4031372070312
55,-513.0818481445312
56,-513.7760009765625
57,-512.147705078125
58,-511.686767578125
59,-512.2254638671875
60,-513.013916015625
61,-512.2005615234375
62,-514.3173828125
63,-512.8209228515625
64,-513.2124633789062
65,-514.1535034179688
66,-511.3811340332031
67,-513.620361328125
68,-513.152587890625
69,-512.4075927734375
70,-513.4495239257812
71,-513.790771484375
72,-512.7950439453125
73,-513.6513671875
74,-512.4346923828125
75,-513.5380249023438
76,-512.3114013671875
77,-512.2474975585938
78,-514.0635986328125
79,-512.9380493164062
80,-511.2294616699219
81,-513.0101318359375
82,-513.0888061523438
83,-512.99267578125
84,-513.2838745117188
85,-513.65673828125
86,-513.0602416992188
87,-512.9164428710938
88,-511.7658996582031
89,-510.78204345703125
90,-515.4090576171875
91,-512.6441650390625
92,-511.7295227050781
93,-513.0748901367188
94,-512.9287719726562
95,-513.3079833984375
96,-513.2847900390625
97,-512.30126953125
98,-512.9700927734375
99,-512.8364868164062
100,-513.1742553710938
101,-513.7485961914062
102,-513.991455078125
103,-512.6017456054688
104,-511.5155334472656
105,-512.2300415039062
106,-515.0635986328125
107,-512.9374389648438
108,-513.312744140625
109,-511.97418212890625
110,-513.1643676757812
111,-514.1388549804688
112,-513.4041748046875
113,-512.428955078125
114,-512.9453735351562
115,-513.369873046875
116,-514.0308227539062
117,-512.376708984375
118,-512.2156372070312
119,-513.38037109375
120,0.0
