,0
0,1083.2794189453125
1,1080.4290771484375
2,1078.120849609375
3,1075.3404541015625
4,1069.9052734375
5,1063.9674072265625
6,1055.4134521484375
7,1043.6705322265625
8,1028.8310546875
9,1010.9923706054688
10,986.3660278320312
11,956.0003662109375
12,917.5419311523438
13,878.6375122070312
14,812.9237060546875
15,739.5455932617188
16,646.2080078125
17,533.908447265625
18,389.6116638183594
19,225.15951538085938
20,8.362452507019043
21,-214.33375549316406
22,-479.7987976074219
23,-791.7103881835938
24,-1198.6859130859375
25,-1618.701904296875
26,-2044.3958740234375
27,-2717.6220703125
28,-3358.025390625
29,-4078.0380859375
30,-5082.94775390625
31,-6088.84814453125
32,-7327.01025390625
33,-8757.791015625
34,-9781.3408203125
35,-11465.513671875
36,-12878.6298828125
37,-15518.462890625
38,-16165.52734375
39,-19796.94921875
40,-22003.466796875
41,-24669.498046875
42,-27799.830078125
43,-31781.279296875
44,-32510.376953125
45,-38151.21875
46,-43392.65625
47,-44246.77734375
48,-54055.71484375
49,-58629.953125
50,-64941.91015625
51,-71090.7890625
52,-78748.4296875
53,-84894.578125
54,-91523.640625
55,-102061.171875
56,-112416.8671875
57,-122106.9453125
58,-130660.5859375
59,-143123.09375
60,-151049.40625
61,-172536.5
62,-180594.828125
63,-201589.578125
64,-216749.34375
65,-225883.984375
66,-244395.46875
67,-258233.484375
68,-284412.03125
69,-309830.375
70,-318991.25
71,-356470.25
72,-375955.4375
73,-405720.0
74,-413953.625
75,-440106.34375
76,-475301.75
77,-507867.15625
78,-538921.125
79,-576985.6875
80,-623551.1875
81,-646154.375
82,-704786.375
83,-740436.625
84,-801150.5625
85,-819223.5625
86,-850122.375
87,-907922.3125
88,-987313.25
89,-1003700.875
90,-1051011.0
91,-1134350.375
92,-1191595.25
93,-1282453.5
94,-1292283.875
95,-1368830.875
96,-1413401.5
97,-1543615.875
98,-1614776.25
99,-1707340.625
100,-1806153.0
101,-1836773.5
102,-1924225.0
103,-2024558.75
104,-2114451.25
105,-2249910.0
106,-2253203.25
107,-2523112.0
108,-2575808.0
109,-2627814.5
110,-2760519.75
111,-2899721.0
112,-2964878.0
113,-3108844.0
114,-3180201.75
115,-3325738.75
116,-3502245.0
117,-3647043.5
118,-3662951.75
119,-4091261.5
120,0.0
