,0
0,4.3373143218520926e-10
1,3.03371764864169e-08
2,1.09143182499546e-07
3,2.3839508754661658e-07
4,4.182034007264693e-07
5,6.509800307741269e-07
6,9.275285309116228e-07
7,1.2500353370083713e-06
8,1.628030601986643e-06
9,2.0571210899113714e-06
10,2.5346535399574778e-06
11,3.052797627754382e-06
12,3.624176051853995e-06
13,4.240607253986813e-06
14,4.92976656472966e-06
15,5.655916953076923e-06
16,6.446902287572386e-06
17,7.276324363660435e-06
18,8.124904687679692e-06
19,8.993442699791044e-06
20,9.92988696673273e-06
21,1.0962866057410235e-05
22,1.2066755218835534e-05
23,1.320926342989593e-05
24,1.4421880332095977e-05
25,1.5668881306892532e-05
26,1.6986389723185547e-05
27,1.8343576127318033e-05
28,1.9710416324135664e-05
29,2.108484674175299e-05
30,2.2523911954561208e-05
31,2.4027132531197455e-05
32,2.5634698473578043e-05
33,2.729390336294464e-05
34,2.899454415514786e-05
35,3.070889451214792e-05
36,3.2471330748752274e-05
37,3.434861950058085e-05
38,3.6300702648131066e-05
39,3.8227666074759955e-05
40,4.016818391040483e-05
41,4.207344724952256e-05
42,4.4106856851168646e-05
43,4.63094886567681e-05
44,4.855167277402453e-05
45,5.076179860383955e-05
46,5.3006353501427526e-05
47,5.5307630249382506e-05
48,0.0
