,0
0,543.4273681640625
1,558.3878173828125
2,576.3594970703125
3,591.6404418945312
4,603.9168090820312
5,620.8224487304688
6,630.2680053710938
7,653.3082885742188
8,666.8361206054688
9,674.5357666015625
10,714.0965576171875
11,718.2227783203125
12,733.1375122070312
13,744.1073608398438
14,747.3499755859375
15,768.9044189453125
16,792.57666015625
17,791.6447143554688
18,823.5111083984375
19,832.8735961914062
20,861.760009765625
21,869.5840454101562
22,870.7433471679688
23,897.221923828125
24,872.3438110351562
25,922.0287475585938
26,980.25634765625
27,936.0050048828125
28,960.5791015625
29,988.9235229492188
30,1000.2889404296875
31,1090.7454833984375
32,1047.0516357421875
33,1029.666748046875
34,1071.027587890625
35,1078.6881103515625
36,1083.173095703125
37,1098.012939453125
38,1126.944580078125
39,1072.5234375
40,1085.645751953125
41,1155.859130859375
42,1121.4356689453125
43,1243.48486328125
44,1181.4691162109375
45,1192.681640625
46,1231.228759765625
47,1271.8570556640625
48,0.0
