,0
0,-1106.4345703125
1,-1107.1544189453125
2,-1130.7825927734375
3,-1153.9873046875
4,-1169.6197509765625
5,-1199.436767578125
6,-1216.2916259765625
7,-1244.592041015625
8,-1272.9393310546875
9,-1266.1085205078125
10,-1319.7020263671875
11,-1335.839599609375
12,-1368.8834228515625
13,-1379.52001953125
14,-1400.93701171875
15,-1396.33251953125
16,-1442.4759521484375
17,-1455.9097900390625
18,-1533.3912353515625
19,-1522.16650390625
20,-1525.826416015625
21,-1540.416259765625
22,-1548.732666015625
23,-1620.93310546875
24,-1554.2332763671875
25,-1628.733154296875
26,-1707.91845703125
27,-1688.7161865234375
28,-1706.061767578125
29,-1729.1865234375
30,-1753.5164794921875
31,-1856.960205078125
32,-1794.5675048828125
33,-1796.950439453125
34,-1857.5728759765625
35,-1863.324951171875
36,-1851.4686279296875
37,-1910.5218505859375
38,-1946.11669921875
39,-1802.2181396484375
40,-1930.582275390625
41,-2062.840576171875
42,-1930.93017578125
43,-2060.550048828125
44,-1998.088623046875
45,-2034.4801025390625
46,-2118.20947265625
47,-2143.552490234375
48,0.0
