,0
0,-543.4273681640625
1,-554.5328979492188
2,-566.666015625
3,-578.8456420898438
4,-586.8990478515625
5,-601.5911254882812
6,-610.7338256835938
7,-624.8382568359375
8,-638.6907348632812
9,-635.6284790039062
10,-662.2586059570312
11,-670.4833984375
12,-687.0177612304688
13,-692.1622314453125
14,-702.7722778320312
15,-700.7576293945312
16,-723.7700805664062
17,-730.5462646484375
18,-768.86572265625
19,-763.6744384765625
20,-765.5045166015625
21,-772.7994995117188
22,-776.9577026367188
23,-812.5485229492188
24,-779.7080078125
25,-816.9579467773438
26,-856.4627685546875
27,-846.7133178710938
28,-855.5830078125
29,-866.83740234375
30,-878.9889526367188
31,-930.9657592773438
32,-899.8751220703125
33,-901.0665893554688
34,-931.1019897460938
35,-934.25390625
36,-928.32568359375
37,-957.852294921875
38,-975.649658203125
39,-903.700439453125
40,-967.882568359375
41,-1034.0103759765625
42,-968.0565185546875
43,-1032.866455078125
44,-1001.6356201171875
45,-1019.8314208984375
46,-1061.694091796875
47,-1074.36767578125
48,0.0
