,0
0,-8.590706102040713e-08
1,-25.985130310058594
2,-52.903053283691406
3,-99.44953918457031
4,-107.13340759277344
5,-169.50485229492188
6,-173.27716064453125
7,-236.47373962402344
8,-229.4386444091797
9,-279.1855773925781
10,-248.27076721191406
11,-366.343505859375
12,-311.33795166015625
13,-356.3970947265625
14,-396.5841064453125
15,-377.53094482421875
16,-427.8448486328125
17,-520.4449462890625
18,-497.5320129394531
19,-615.9193115234375
20,-530.8780517578125
21,-596.2777099609375
22,-639.5967407226562
23,-629.7324829101562
24,-701.97802734375
25,-590.556884765625
26,-600.1041259765625
27,-687.2047729492188
28,-902.962646484375
29,-782.6339111328125
30,0.0
