,0
0,-0.20222780108451843
1,-3.5119709968566895
2,-17.10296058654785
3,-53.34812545776367
4,-125.77864837646484
5,-189.11587524414062
6,-339.5802001953125
7,-658.38720703125
8,-1136.0146484375
9,-1870.817626953125
10,-2717.510986328125
11,-4019.879638671875
12,-4189.3974609375
13,-6096.80859375
14,-6520.095703125
15,-9755.919921875
16,-15271.3388671875
17,-18543.84375
18,-24035.43359375
19,-30200.232421875
20,-39088.77734375
21,-48198.0234375
22,-56214.4921875
23,-86305.703125
24,-104816.578125
25,-101028.0
26,-130624.4375
27,-196123.03125
28,-175229.703125
29,-220153.53125
30,0.0
