,0
0,-0.09757904708385468
1,-3.83223295211792
2,-16.037616729736328
3,-51.824153900146484
4,-152.23934936523438
5,-377.170166015625
6,-749.7488403320312
7,-1523.1405029296875
8,-2510.41748046875
9,-4561.4208984375
10,-7372.54052734375
11,-11544.876953125
12,-16041.0810546875
13,-21809.337890625
14,-30624.9765625
15,-45129.84375
16,-57466.90625
17,-81682.15625
18,-83721.65625
19,-119604.09375
20,-173474.46875
21,-187930.671875
22,-214997.921875
23,-269968.0
24,-397681.4375
25,-346988.9375
26,-444946.15625
27,-547920.375
28,-654668.5
29,-854510.0
30,0.0
