,0
0,-0.0336051881313324
1,-3.623011827468872
2,-15.464466094970703
3,-50.269439697265625
4,-147.82290649414062
5,-368.5685729980469
6,-734.662841796875
7,-1498.974609375
8,-2471.68798828125
9,-4504.31884765625
10,-7283.28125
11,-11406.94921875
12,-15852.73828125
13,-21593.142578125
14,-30396.9453125
15,-44747.61328125
16,-57025.4765625
17,-81027.03125
18,-83120.65625
19,-118856.890625
20,-172370.6875
21,-186704.3125
22,-214024.71875
23,-268229.09375
24,-395498.5625
25,-345274.40625
26,-442396.65625
27,-544572.875
28,-651557.0625
29,-850518.75
30,0.0
