,0
0,0.26917654275894165
1,6.166806221008301
2,-74.00657653808594
3,-88.52874755859375
4,-57.9831657409668
5,-60.749977111816406
6,-62.59648513793945
7,-51.89898681640625
8,-52.74075698852539
9,-47.800785064697266
10,-40.454856872558594
11,-66.2614517211914
12,-72.57179260253906
13,-74.24211120605469
14,-73.83944702148438
15,-57.65380096435547
16,-78.3729019165039
17,-74.24424743652344
18,-62.992286682128906
19,-70.85298156738281
20,-67.32888793945312
21,-82.92269897460938
22,-73.11751556396484
23,-69.43374633789062
24,-66.38426208496094
25,-71.0333251953125
26,-58.54964828491211
27,-86.03158569335938
28,-81.23571014404297
29,-74.8021240234375
30,0.0
