,0
0,0.32554954290390015
1,5.014708518981934
2,-65.19903564453125
3,-90.32789611816406
4,-58.38216018676758
5,-60.92655563354492
6,-62.52894592285156
7,-51.74504852294922
8,-53.17140197753906
9,-47.97587966918945
10,-40.78981399536133
11,-65.28668975830078
12,-73.90689086914062
13,-73.83642578125
14,-74.10639953613281
15,-58.68400573730469
16,-77.0820083618164
17,-72.80497741699219
18,-62.57872772216797
19,-68.95291137695312
20,-68.03621673583984
21,-82.07252502441406
22,-74.15904998779297
23,-69.1390380859375
24,-66.19355773925781
25,-71.08724975585938
26,-60.979103088378906
27,-86.93841552734375
28,-79.56065368652344
29,-75.19121551513672
30,0.0
