,0
0,-0.25024691224098206
1,-7.101546287536621
2,-16.216205596923828
3,-23.875988006591797
4,-36.9356575012207
5,-41.325721740722656
6,-63.26372528076172
7,-55.360374450683594
8,-61.26568603515625
9,-41.917747497558594
10,-65.2068099975586
11,-58.38890838623047
12,-51.36172866821289
13,-83.08738708496094
14,-68.32234191894531
15,-69.95369720458984
16,-66.1602554321289
17,-62.120849609375
18,-64.44001770019531
19,-43.498382568359375
20,-67.02100372314453
21,-57.64874267578125
22,-57.21270751953125
23,-93.71629333496094
24,-48.62055206298828
25,-57.64382553100586
26,-63.093475341796875
27,-44.33638000488281
28,-75.80807495117188
29,-50.96544647216797
30,0.0
