,0
0,-2.718906216614414e-06
1,-210.21728515625
2,-344.1019287109375
3,-474.1085205078125
4,-406.6701354980469
5,-606.0716552734375
6,-636.640380859375
7,-712.4937133789062
8,-775.2481689453125
9,-659.238525390625
10,-469.4488525390625
11,-545.491943359375
12,-736.502197265625
13,-864.6146850585938
14,-412.5870361328125
15,-371.0403747558594
16,-414.0271301269531
17,-458.25823974609375
18,-544.5067138671875
19,-300.2940673828125
20,-437.71807861328125
21,-246.7977294921875
22,-561.0081787109375
23,-383.98614501953125
24,-434.64739990234375
25,-220.54812622070312
26,-83.23185729980469
27,-226.8718719482422
28,-237.73353576660156
29,-92.92303466796875
30,0.0
