,0
0,-0.3381444215774536
1,-11.368350982666016
2,-23.07270050048828
3,-44.97209930419922
4,-48.79218292236328
5,-79.3941650390625
6,-80.17817687988281
7,-112.91880798339844
8,-109.68755340576172
9,-137.90481567382812
10,-119.93716430664062
11,-181.17279052734375
12,-155.42190551757812
13,-178.42739868164062
14,-199.3175048828125
15,-189.46701049804688
16,-214.45870971679688
17,-265.83135986328125
18,-253.82675170898438
19,-311.7978820800781
20,-271.51593017578125
21,-303.7994689941406
22,-328.5687561035156
23,-320.1607666015625
24,-356.71075439453125
25,-301.3006286621094
26,-305.08642578125
27,-350.1735534667969
28,-463.9852600097656
29,-399.2399597167969
30,0.0
