,0
0,-0.25882604718208313
1,-3.7122530937194824
2,-17.83785629272461
3,-55.704559326171875
4,-128.04910278320312
5,-175.37960815429688
6,-239.9403076171875
7,-180.690673828125
8,-148.45657348632812
9,-134.50823974609375
10,-121.33837890625
11,-110.45834350585938
12,-80.93254852294922
13,-78.83621215820312
14,-29.938140869140625
15,2.5776991844177246
16,20.142505645751953
17,33.90472412109375
18,43.408416748046875
19,49.68863296508789
20,37.431304931640625
21,51.483802795410156
22,53.20248794555664
23,49.624393463134766
24,48.185386657714844
25,44.344329833984375
26,46.50358581542969
27,46.830055236816406
28,44.51316833496094
29,43.73724365234375
30,0.0
