,0
0,-594.0137329101562
1,-636.3726806640625
2,-670.1801147460938
3,-700.3038940429688
4,-652.0169067382812
5,-502.60333251953125
6,-307.89520263671875
7,-286.6736755371094
8,-296.5641174316406
9,-363.03515625
10,-393.53436279296875
11,-418.4699401855469
12,-287.17633056640625
13,-328.2544250488281
14,-253.00811767578125
15,-271.8193054199219
16,-202.80523681640625
17,-210.27825927734375
18,-101.45050048828125
19,-141.1142120361328
20,-230.68905639648438
21,-171.4354705810547
22,-126.72901916503906
23,-158.28150939941406
24,-196.86302185058594
25,-139.91888427734375
26,-149.06039428710938
27,-130.25424194335938
28,-116.08442687988281
29,-195.40652465820312
30,0.0
