,0
0,0.27219870686531067
1,6.686008453369141
2,-26.0283203125
3,-93.40826416015625
4,-64.44776153564453
5,-71.04586791992188
6,-73.38642120361328
7,-62.07344055175781
8,-70.5124282836914
9,-63.030975341796875
10,-52.18827819824219
11,-56.166404724121094
12,-47.48057556152344
13,-34.15817642211914
14,-33.21702194213867
15,-66.54003143310547
16,-63.75852966308594
17,-64.556640625
18,-70.63694763183594
19,-67.72187805175781
20,-66.04933166503906
21,-81.3297348022461
22,-83.71432495117188
23,-64.64768981933594
24,-68.89765167236328
25,-74.12490844726562
26,-79.70919036865234
27,-84.3728256225586
28,-77.3279037475586
29,-65.29454040527344
30,0.0
