,0
0,-590.2689208984375
1,-519.4944458007812
2,-68.87550354003906
3,-18.09001922607422
4,-4.354907989501953
5,-4.6512908935546875
6,-3.6585445404052734
7,-4.224031448364258
8,-3.5613327026367188
9,-3.556293487548828
10,-3.648632049560547
11,-5.296171188354492
12,-3.859975814819336
13,-3.7967758178710938
14,-3.515148162841797
15,-3.493968963623047
16,-3.5036354064941406
17,-3.5171737670898438
18,-3.493642807006836
19,-4.0372161865234375
20,-3.487030029296875
21,-3.4975204467773438
22,-3.6173248291015625
23,-3.5197181701660156
24,-3.5011672973632812
25,-3.475311279296875
26,-3.4839096069335938
27,-3.528636932373047
28,-3.5936431884765625
29,-3.473979949951172
30,0.0
