,0
0,-0.25024691224098206
1,-3.437878131866455
2,-6.901355743408203
3,-9.625194549560547
4,-14.848752975463867
5,-17.50784683227539
6,-27.640106201171875
7,-24.62684440612793
8,-27.758155822753906
9,-18.795225143432617
10,-30.735862731933594
11,-28.123973846435547
12,-25.96076011657715
13,-43.19025421142578
14,-35.414276123046875
15,-37.11664962768555
16,-35.07206726074219
17,-33.84771728515625
18,-36.10478210449219
19,-23.874210357666016
20,-38.51225662231445
21,-33.65269470214844
22,-33.65275955200195
23,-55.75416564941406
24,-30.763263702392578
25,-38.44447708129883
26,-41.61213684082031
27,-29.476926803588867
28,-52.16408920288086
29,-36.25510025024414
30,0.0
