,0
0,-543.4273681640625
1,-407.91754150390625
2,-330.0213623046875
3,-269.6814270019531
4,-256.1716613769531
5,-234.24627685546875
6,-193.41970825195312
7,-193.12518310546875
8,-159.48231506347656
9,-217.47923278808594
10,-142.34774780273438
11,-66.50930786132812
12,-151.11337280273438
13,-44.018882751464844
14,-143.566162109375
15,-159.9618377685547
16,-161.8419647216797
17,-117.38174438476562
18,-36.37325668334961
19,-151.749755859375
20,-84.64496612548828
21,-119.34585571289062
22,-168.02984619140625
23,-216.60313415527344
24,-138.67794799804688
25,-183.90069580078125
26,-220.50997924804688
27,-102.04784393310547
28,-125.93989562988281
29,-191.33558654785156
30,0.0
