,0
0,543.4273681640625
1,404.5457763671875
2,323.1981506347656
3,260.1145324707031
4,241.40940856933594
5,216.80453491210938
6,165.8746337890625
7,168.57077026367188
8,131.77481079101562
9,198.71456909179688
10,111.6726303100586
11,38.42861557006836
12,125.18031311035156
13,-1.652286410331726
14,108.16474151611328
15,122.86226654052734
16,126.77962493896484
17,83.5505142211914
18,-9.098762512207031
19,127.86582946777344
20,46.150291442871094
21,85.69087982177734
22,134.3930206298828
23,160.87005615234375
24,107.94060516357422
25,145.47006225585938
26,178.89720153808594
27,72.5873794555664
28,73.77313995361328
29,155.07675170898438
30,0.0
