,0
0,-0.1611931324005127
1,-6.620394229888916
2,-11.536691665649414
3,-18.465560913085938
4,-11.684741973876953
5,-11.64478874206543
6,-6.0360517501831055
7,-7.733654975891113
8,-4.885556221008301
9,-6.297858238220215
10,-3.0669784545898438
11,-4.68637752532959
12,-3.7878055572509766
13,-3.0116522312164307
14,-2.9619040489196777
15,-2.6739230155944824
16,-2.43341064453125
17,-2.926931142807007
18,-2.4266490936279297
19,-2.990628957748413
20,-3.039444923400879
21,-2.440817356109619
22,-3.605909824371338
23,-2.8764595985412598
24,-2.3648788928985596
25,-2.691923141479492
26,-2.2184691429138184
27,-2.620704412460327
28,-3.0939207077026367
29,-3.120105266571045
30,0.0
