,0
0,-589.9893798828125
1,-361.53253173828125
2,-158.21388244628906
3,-18.710290908813477
4,-11.717641830444336
5,-11.626930236816406
6,-8.074152946472168
7,-9.480751037597656
8,-7.173129558563232
9,-10.929708480834961
10,-5.256321907043457
11,-7.228330612182617
12,-6.110601425170898
13,-5.4706830978393555
14,-5.033405303955078
15,-5.04195499420166
16,-4.829240322113037
17,-5.3689727783203125
18,-4.916978359222412
19,-5.410325050354004
20,-5.306643009185791
21,-4.855634689331055
22,-5.441235542297363
23,-5.0015764236450195
24,-4.647917747497559
25,-4.522866249084473
26,-4.357730865478516
27,-4.631707668304443
28,-5.493172645568848
29,-4.946744918823242
30,0.0
