,0
0,97.3603138923645
1,97.80970096588135
2,83.40911436080933
3,83.5320496559143
4,83.43041205406189
5,83.45019936561584
6,83.46198916435242
7,83.45594620704651
8,83.45015335083008
9,83.42339205741882
10,83.42320537567139
11,83.42652988433838
12,83.42353200912476
13,83.42615723609924
14,83.44858312606812
15,83.48119568824768
16,83.44282555580139
17,83.46574378013611
18,83.44910550117493
19,83.51273679733276
20,83.46983551979065
21,83.43866419792175
22,83.48036623001099
23,83.46660327911377
24,83.4809308052063
25,83.51252722740173
26,83.50072169303894
27,83.47456884384155
28,83.42342042922974
29,83.4668231010437
30,0.0
