,0
0,-2.298079013824463
1,117.61100769042969
2,135.12086486816406
3,150.37953186035156
4,164.91641235351562
5,179.04933166503906
6,192.9147186279297
7,206.58203125
8,220.09271240234375
9,233.4610595703125
10,246.69400024414062
11,259.8443603515625
12,272.87957763671875
13,285.8055419921875
14,298.6356201171875
15,311.4284973144531
16,324.100341796875
17,336.7004089355469
18,349.2107849121094
19,361.65411376953125
20,374.0257263183594
21,386.32080078125
22,398.54779052734375
23,410.704345703125
24,422.7884826660156
25,434.80517578125
26,446.7508544921875
27,458.6380615234375
28,470.4560852050781
29,482.2086181640625
30,0.0
