,0
0,0.1942252218723297
1,85.59217071533203
2,124.64238739013672
3,134.19192504882812
4,142.578125
5,150.68336486816406
6,158.22792053222656
7,165.8044891357422
8,173.22091674804688
9,180.53558349609375
10,187.94129943847656
11,195.1837921142578
12,202.4419708251953
13,209.6082305908203
14,216.8182830810547
15,223.95855712890625
16,231.1261749267578
17,238.24588012695312
18,245.3753662109375
19,252.47665405273438
20,259.56024169921875
21,266.65350341796875
22,273.7298278808594
23,280.8038330078125
24,287.8470458984375
25,294.9132385253906
26,301.9638977050781
27,309.0079345703125
28,316.04010009765625
29,323.07122802734375
30,0.0
