,0
0,8.090833603091596e-07
1,361.9908752441406
2,809.55224609375
3,1339.4071044921875
4,1903.257568359375
5,2637.070556640625
6,3294.818603515625
7,4104.6298828125
8,5002.3798828125
9,5799.978515625
10,6747.80126953125
11,7748.46337890625
12,8557.3212890625
13,9571.2568359375
14,10432.2587890625
15,11559.0283203125
16,12512.3466796875
17,13740.2080078125
18,14914.6357421875
19,15535.326171875
20,16266.5732421875
21,17567.859375
22,18694.18359375
23,19372.087890625
24,20104.708984375
25,21302.1484375
26,23025.34765625
27,23669.279296875
28,24432.04296875
29,24641.51171875
30,0.0
