,0
0,-260.0418701171875
1,-241.4141082763672
2,-223.82435607910156
3,-206.585205078125
4,-187.1786346435547
5,-157.5489501953125
6,-123.1491470336914
7,-94.56809997558594
8,-42.76588439941406
9,134.11843872070312
10,875.7684326171875
11,2945.76611328125
12,7732.66748046875
13,12809.3173828125
14,25294.3125
15,45089.6015625
16,60517.4921875
17,110602.3984375
18,153689.65625
19,194365.46875
20,234515.796875
21,278398.15625
22,332688.3125
23,446127.4375
24,644972.375
25,253143.421875
26,750819.125
27,1061735.125
28,1195270.25
29,1270365.5
30,0.0
