,0
0,-883.5769653320312
1,-806.55322265625
2,-712.1010131835938
3,-611.1531372070312
4,-511.026123046875
5,-408.5125732421875
6,-300.5761413574219
7,-245.68084716796875
8,-211.69064331054688
9,-139.6895751953125
10,-38.27370071411133
11,-36.00082015991211
12,-22.583778381347656
13,-15.853775024414062
14,-19.97597885131836
15,-21.447050094604492
16,-20.84368324279785
17,-19.646493911743164
18,-15.534316062927246
19,-17.487077713012695
20,-16.202880859375
21,-12.572834968566895
22,-14.169763565063477
23,-13.080636978149414
24,-13.674503326416016
25,-12.152957916259766
26,-15.272416114807129
27,-12.959711074829102
28,-14.495218276977539
29,-13.376441955566406
30,-10.167266845703125
31,-12.550395965576172
32,-10.389848709106445
33,-10.226520538330078
34,-12.072893142700195
35,-13.077796936035156
36,-9.898214340209961
37,-10.889717102050781
38,-9.798901557922363
39,-11.279242515563965
40,-10.25117301940918
41,-13.418777465820312
42,-10.111085891723633
43,-9.731794357299805
44,-10.096572875976562
45,-9.533915519714355
46,-10.407979011535645
47,-9.920475006103516
48,-9.443354606628418
49,-9.399677276611328
50,-8.944047927856445
51,-10.276104927062988
52,-9.64027214050293
53,-9.64236831665039
54,-9.996212005615234
55,-9.901010513305664
56,-10.023258209228516
57,-8.340665817260742
58,-9.00477123260498
59,-8.896526336669922
60,-10.082242012023926
61,-9.805233001708984
62,-9.178633689880371
63,-9.68928337097168
64,-9.478679656982422
65,-9.312475204467773
66,-9.575817108154297
67,-9.680910110473633
68,-9.18249797821045
69,-8.52195930480957
70,-9.583555221557617
71,-9.808671951293945
72,-10.381362915039062
73,-9.469773292541504
74,-8.964532852172852
75,-9.075626373291016
76,-9.27387809753418
77,-8.720060348510742
78,-8.167061805725098
79,-8.351762771606445
80,0.0
