,0
0,1.0051536764289664e-09
1,4.224620693255028e-08
2,1.4262868493705404e-07
3,3.0809220373444337e-07
4,5.413569926576335e-07
5,8.500247273667064e-07
6,1.229523839750969e-06
7,1.6751708071066012e-06
8,2.190848499822001e-06
9,2.7732261111715444e-06
10,3.4256282416496215e-06
11,4.136910051517018e-06
12,4.931233562637696e-06
13,5.808017716612333e-06
14,6.738011381964741e-06
15,7.752166973308243e-06
16,8.831002355019085e-06
17,9.98591449498038e-06
18,1.1168688734289707e-05
19,1.2019093690291885e-05
20,1.2944567667747825e-05
21,1.3763104402140148e-05
22,1.4293181714987765e-05
23,1.4661318284677794e-05
24,1.505419134051042e-05
25,1.5504414627622535e-05
26,1.5799646599001808e-05
27,1.5903464435091222e-05
28,1.592528244099583e-05
29,1.60932773627226e-05
30,1.618834286121367e-05
31,1.640090317787701e-05
32,1.6637360587908494e-05
33,1.6999619856619528e-05
34,1.7163965514380454e-05
35,1.721274649188301e-05
36,1.7222012395116003e-05
37,1.728499167812511e-05
38,1.7363247599317747e-05
39,1.737722248049986e-05
40,1.7362726275894057e-05
41,1.73374560538653e-05
42,1.742510976070466e-05
43,1.7478669536257722e-05
44,1.748595099705351e-05
45,1.7495714950343063e-05
46,1.760254591169679e-05
47,1.7635173620853957e-05
48,1.7632168253378688e-05
49,1.7613400610125794e-05
50,1.7728952877921692e-05
51,1.7936352713313613e-05
52,1.8040198477443583e-05
53,1.8204758250182095e-05
54,1.8262240363875314e-05
55,1.8272432547120043e-05
56,1.8260736904358773e-05
57,1.8377477665436065e-05
58,1.8443366119336308e-05
59,1.84591408075764e-05
60,1.8452295334524833e-05
61,1.856010377729798e-05
62,1.8799420708370726e-05
63,1.90545914571318e-05
64,1.916801809072991e-05
65,1.92047248453659e-05
66,1.9208020354151378e-05
67,1.936511558227269e-05
68,1.9437964324502338e-05
69,1.94570872744934e-05
70,1.9451956272820343e-05
71,1.9436898404287824e-05
72,1.9601171138831745e-05
73,1.9661523634470884e-05
74,1.967646048149433e-05
75,1.9720431629790213e-05
76,1.9895073425169043e-05
77,1.996025747182418e-05
78,1.9976942924497922e-05
79,1.997259545951821e-05
80,0.0
