,0
0,-1721.171875
1,-1660.427978515625
2,-1756.7879638671875
3,-1723.383544921875
4,-1745.35595703125
5,-1740.281005859375
6,-1705.791015625
7,-1770.132568359375
8,-1779.9320068359375
9,-1873.589111328125
10,-1970.677001953125
11,-1959.1727294921875
12,-2059.807861328125
13,-2118.32763671875
14,-2276.259765625
15,-2461.178466796875
16,-2612.294189453125
17,-2808.206787109375
18,-3248.03125
19,-3657.86865234375
20,-3860.128662109375
21,-4610.85107421875
22,-5550.2158203125
23,-6230.23193359375
24,-6869.296875
25,-8315.529296875
26,-8767.224609375
27,-10267.0791015625
28,-12411.4365234375
29,-13761.70703125
30,-14762.2412109375
31,-17967.94921875
32,-20446.625
33,-23227.609375
34,-24323.1171875
35,-28819.525390625
36,-32999.54296875
37,-35469.87890625
38,-41244.54296875
39,-51135.12109375
40,-48851.20703125
41,-55634.16796875
42,-62924.90234375
43,-75749.296875
44,-78320.8046875
45,-80783.2890625
46,-90152.140625
47,-99410.375
48,-126530.625
49,-121082.8359375
50,-137478.40625
51,-155587.921875
52,-169233.0
53,-192135.359375
54,-214781.234375
55,-209163.796875
56,-236117.96875
57,-246946.015625
58,-290649.25
59,-318887.0625
60,-359022.71875
61,-361139.21875
62,-389150.375
63,-430005.5625
64,-460381.25
65,-491528.28125
66,-531382.4375
67,-554358.625
68,-489316.09375
69,-704649.0
70,-645345.25
71,-739658.625
72,-787301.6875
73,-897819.5625
74,-881610.0625
75,-824290.4375
76,-1039133.6875
77,-1023950.4375
78,-1120589.625
79,-1288994.25
80,0.0
