,0
0,5.098960735336551e-10
1,3.2522603237178366e-08
2,1.1094317138070914e-07
3,2.4391516658327373e-07
4,4.297107231587184e-07
5,6.737003645168051e-07
6,9.609182488975401e-07
7,1.288590966718041e-06
8,1.6745600751641888e-06
9,2.1048848273256626e-06
10,2.5883929083268876e-06
11,3.128777607586522e-06
12,3.6916183908995566e-06
13,4.31754861782611e-06
14,4.978315196450379e-06
15,5.705353851643069e-06
16,6.507013903861739e-06
17,7.356411898846132e-06
18,8.251805049287732e-06
19,9.19546328426053e-06
20,1.0154319027968617e-05
21,1.1128584843831776e-05
22,1.2184456394196352e-05
23,1.331707032111127e-05
24,1.453380040306193e-05
25,1.5771419107789847e-05
26,1.702726706521107e-05
27,1.838272193082915e-05
28,1.9786031493938052e-05
29,2.1250843257022272e-05
30,2.274577541184495e-05
31,2.4280208676916914e-05
32,2.5856782252070605e-05
33,2.7438610953522047e-05
34,2.911511260933898e-05
35,3.086013416109955e-05
36,3.271147466013701e-05
37,3.4560369904068104e-05
38,3.647930246747965e-05
39,3.8387234486028187e-05
40,4.0323758611873704e-05
41,4.2314093865637283e-05
42,4.42851091215681e-05
43,4.6412214196160255e-05
44,4.8608503233438135e-05
45,5.0837949061085906e-05
46,5.309050999696629e-05
47,5.5393679645447766e-05
48,5.782152006696632e-05
49,6.02793489978096e-05
50,6.276471497664001e-05
51,6.535302991918701e-05
52,6.804107899767118e-05
53,7.078694532633523e-05
54,7.347219539453267e-05
55,7.611187310677575e-05
56,7.876071121632085e-05
57,8.155084659238002e-05
58,8.433404340191913e-05
59,8.710276107398832e-05
60,9.001451375731723e-05
61,9.302071907380282e-05
62,9.613226895926149e-05
63,9.936408939981202e-05
64,0.00010262023206057027
65,0.00010602626141187104
66,0.00010940240155354682
67,0.00011271614424639174
68,0.00011601537677061057
69,0.00011936057264335153
70,0.00012279091800862876
71,0.00012634252071976415
72,0.00012992867972641276
73,0.00013354780623337867
74,0.00013726084543138383
75,0.0001409878238247415
76,0.00014463867658577777
77,0.00014831413084742727
78,0.00015205961622232598
79,0.000155990034875548
80,0.0
