,0
0,569.81884765625
1,586.3046264648438
2,595.6322631835938
3,627.8187255859375
4,632.1158447265625
5,663.6942749023438
6,683.9341430664062
7,685.4326782226562
8,718.5878295898438
9,716.9302368164062
10,750.5125732421875
11,768.2537841796875
12,793.751220703125
13,805.9625244140625
14,823.71728515625
15,800.5101318359375
16,875.9714965820312
17,881.4216918945312
18,912.6945190429688
19,915.177490234375
20,946.1334228515625
21,911.9606323242188
22,936.0921630859375
23,965.5023803710938
24,993.2457275390625
25,979.7586059570312
26,1053.260986328125
27,1046.5333251953125
28,1058.386962890625
29,1089.9224853515625
30,1050.0958251953125
31,1143.6214599609375
32,1191.780029296875
33,1172.995849609375
34,1184.55712890625
35,1195.9244384765625
36,1236.1300048828125
37,1227.309814453125
38,1311.4969482421875
39,1238.9111328125
40,1310.914306640625
41,1338.1710205078125
42,1256.0538330078125
43,1221.15283203125
44,1294.2347412109375
45,1423.6668701171875
46,1262.855712890625
47,1425.22021484375
48,1356.4224853515625
49,1377.5245361328125
50,1454.4833984375
51,1502.589111328125
52,1593.4766845703125
53,1569.7513427734375
54,1438.934326171875
55,1500.489501953125
56,1597.3756103515625
57,1565.539794921875
58,1720.2724609375
59,1654.939208984375
60,1670.7607421875
61,1686.4130859375
62,1600.076416015625
63,1742.0174560546875
64,1764.78369140625
65,1809.927978515625
66,1790.64794921875
67,1702.8236083984375
68,1791.474609375
69,1642.9229736328125
70,1872.0980224609375
71,1811.255615234375
72,1718.756591796875
73,1976.28369140625
74,1954.6297607421875
75,1857.12353515625
76,2051.1484375
77,1848.3837890625
78,1908.1416015625
79,2167.25
80,0.0
