,0
0,-1697.7279052734375
1,-1784.25390625
2,-1761.556640625
3,-1859.742919921875
4,-1803.4007568359375
5,-1928.68212890625
6,-2017.4466552734375
7,-1919.9844970703125
8,-2105.18701171875
9,-2000.3768310546875
10,-2085.342041015625
11,-2205.763427734375
12,-2172.309326171875
13,-2247.777099609375
14,-2195.762451171875
15,-2219.797119140625
16,-2464.146728515625
17,-2535.60791015625
18,-2593.359130859375
19,-2679.985595703125
20,-2524.338623046875
21,-2452.780029296875
22,-2598.720947265625
23,-2619.557861328125
24,-3084.483154296875
25,-2439.43505859375
26,-2864.260498046875
27,-2806.240966796875
28,-2875.488037109375
29,-2913.044189453125
30,-2713.639404296875
31,-3008.9443359375
32,-3403.746826171875
33,-2963.205078125
34,-3238.606689453125
35,-3436.663330078125
36,-3251.065673828125
37,-3168.404052734375
38,-3492.763671875
39,-3301.718017578125
40,-3273.144287109375
41,-3904.61376953125
42,-2882.029541015625
43,-2901.02001953125
44,-3086.447021484375
45,-3637.42431640625
46,-2753.8486328125
47,-3659.86083984375
48,-3215.790283203125
49,-3475.377685546875
50,-3928.171630859375
51,-3533.230224609375
52,-4051.221923828125
53,-4420.89111328125
54,-3342.767333984375
55,-3992.354736328125
56,-4537.71728515625
57,-4038.272705078125
58,-4142.0556640625
59,-4094.88134765625
60,-4735.49853515625
61,-4306.6728515625
62,-4215.884765625
63,-4292.4970703125
64,-4801.56884765625
65,-5243.34765625
66,-4082.173095703125
67,-4121.857421875
68,-4798.8935546875
69,-3857.728759765625
70,-4852.66015625
71,-4079.937255859375
72,-4434.27783203125
73,-5328.59423828125
74,-5317.66064453125
75,-4930.98583984375
76,-5145.16064453125
77,-4792.7431640625
78,-4947.63232421875
79,-5985.38037109375
80,0.0
