,0
0,-851.455322265625
1,-894.7175903320312
2,-882.9158935546875
3,-932.4628295898438
4,-904.2916870117188
5,-966.580322265625
6,-1011.3131103515625
7,-962.5836181640625
8,-1055.145751953125
9,-1002.7767333984375
10,-1045.2623291015625
11,-1105.4490966796875
12,-1088.6497802734375
13,-1126.4798583984375
14,-1100.4725341796875
15,-1112.48974609375
16,-1234.6646728515625
17,-1270.395263671875
18,-1299.2708740234375
19,-1342.580810546875
20,-1264.7606201171875
21,-1228.9813232421875
22,-1301.9517822265625
23,-1312.23974609375
24,-1544.8328857421875
25,-1222.308837890625
26,-1434.7215576171875
27,-1405.6385498046875
28,-1440.1912841796875
29,-1459.1134033203125
30,-1359.4110107421875
31,-1507.0634765625
32,-1704.4647216796875
33,-1483.8387451171875
34,-1621.5347900390625
35,-1720.9229736328125
36,-1628.1239013671875
37,-1586.5203857421875
38,-1748.9730224609375
39,-1653.4503173828125
40,-1639.1634521484375
41,-1954.66064453125
42,-1443.6060791015625
43,-1453.1011962890625
44,-1545.8148193359375
45,-1821.303466796875
46,-1379.5152587890625
47,-1832.521728515625
48,-1610.4864501953125
49,-1740.2801513671875
50,-1966.677001953125
51,-1769.2064208984375
52,-2028.2022705078125
53,-2213.0361328125
54,-1673.9749755859375
55,-1998.7686767578125
56,-2271.29296875
57,-2021.7276611328125
58,-2073.619384765625
59,-2050.031982421875
60,-2370.3408203125
61,-2155.572265625
62,-2110.533935546875
63,-2148.69091796875
64,-2403.3759765625
65,-2624.265380859375
66,-2043.6778564453125
67,-2063.520263671875
68,-2402.038330078125
69,-1931.0931396484375
70,-2428.921630859375
71,-2042.5599365234375
72,-2219.730224609375
73,-2666.88720703125
74,-2661.421875
75,-2468.084228515625
76,-2575.171875
77,-2398.963134765625
78,-2476.40771484375
79,-2995.242919921875
80,0.0
