,0
0,-553.8834838867188
1,-473.9949951171875
2,-432.1549377441406
3,-423.3451232910156
4,-416.4429931640625
5,-410.2275390625
6,-403.7117004394531
7,-397.68408203125
8,-391.8853759765625
9,-386.26959228515625
10,-380.7790832519531
11,-375.4378356933594
12,-370.1775817871094
13,-365.0398864746094
14,-359.9823913574219
15,-355.1101379394531
16,-350.1968078613281
17,-345.45355224609375
18,-340.7794494628906
19,-336.184326171875
20,-331.6802978515625
21,-327.2521057128906
22,-322.9208068847656
23,-318.61187744140625
24,-314.42022705078125
25,-310.28961181640625
26,-306.25531005859375
27,-302.25714111328125
28,-298.3468322753906
29,-294.4992980957031
30,0.0
