,0
0,-5749.70947265625
1,-5381.83935546875
2,-5037.83642578125
3,-4717.13916015625
4,-4418.02783203125
5,-4139.0068359375
6,-3878.63623046875
7,-3635.594970703125
8,-3408.802001953125
9,-3197.15625
10,-2999.6962890625
11,-2815.51416015625
12,-2643.776123046875
13,-2483.719970703125
14,-2334.5927734375
15,-2195.707275390625
16,-2066.4619140625
17,-1946.2156982421875
18,-1834.427001953125
19,-1730.5653076171875
20,-1634.1251220703125
21,-1544.6368408203125
22,-1461.668701171875
23,-1384.80419921875
24,-1313.642578125
25,-1247.8187255859375
26,-1186.9837646484375
27,-1130.8077392578125
28,-1078.9832763671875
29,-1031.217041015625
30,0.0
