,0
0,4.1419375520490576e-06
1,187.95016479492188
2,321.0767822265625
3,407.1817932128906
4,614.9712524414062
5,534.3452758789062
6,567.8056640625
7,611.750732421875
8,578.6895141601562
9,415.87408447265625
10,564.9625854492188
11,521.2863159179688
12,616.9776000976562
13,440.9090270996094
14,544.107666015625
15,463.00408935546875
16,266.2762756347656
17,477.4238586425781
18,216.59732055664062
19,49.58257293701172
20,176.1076202392578
21,204.2841796875
22,173.5305633544922
23,290.1701354980469
24,353.9542236328125
25,377.1730651855469
26,215.1251983642578
27,150.38058471679688
28,336.1334228515625
29,139.94009399414062
30,0.0
