,0
0,0.0015365618746727705
1,1.4917035102844238
2,5.0368146896362305
3,9.581167221069336
4,14.58264446258545
5,19.812992095947266
6,25.182456970214844
7,30.469078063964844
8,36.111331939697266
9,41.825252532958984
10,47.54780960083008
11,53.339176177978516
12,59.37427520751953
13,65.98214721679688
14,72.4613037109375
15,79.13948822021484
16,86.06101989746094
17,93.33051300048828
18,100.8564453125
19,109.19999694824219
20,117.46207427978516
21,125.95264434814453
22,135.05433654785156
23,143.9194793701172
24,153.3076171875
25,163.3247528076172
26,173.3670196533203
27,183.5601043701172
28,194.5023193359375
29,205.37962341308594
30,0.0
