,0
0,0.6386548882760956
1,6.354104666155905e-09
2,1.6253954288253994e-13
3,9.13487457430473e-14
4,2.4522569441513465e-15
5,7.116892916071498e-18
6,3.7862168417770215e-19
7,7.375027377684967e-20
8,1.2193079449352695e-20
9,3.536672383557945e-21
10,1.1424833078117672e-21
11,3.7137580696184577e-22
12,1.4455947285233567e-22
13,5.083078658919429e-23
14,1.8920964650590436e-23
15,7.188084206528993e-24
16,2.6906772688018267e-24
17,1.0828728626525207e-24
18,4.24373098262861e-25
19,1.6735107025808458e-25
20,6.720221058782858e-26
21,2.698393840053347e-26
22,1.0996518204725357e-26
23,4.558310664817015e-27
24,1.8566571707188623e-27
25,7.664484564258487e-28
26,3.2147891090492123e-28
27,1.3196236457450556e-28
28,5.564537961258075e-29
29,2.3176631095376468e-29
30,0.0
