,0
0,-3.465735902800458
1,-3.484804886383732
2,-3.501814705512167
3,-3.5101554061864366
4,-3.513985264893934
5,-3.5420165074499494
6,-3.4916429742800235
7,-3.4866117572417408
8,-3.479321079073573
9,-3.477185322085836
10,-3.4839856084552694
11,-3.487125924593819
12,-3.4959803482796903
13,-3.4956513428897713
14,-3.4843848184203785
15,-3.486606008377323
16,-3.490656714091549
17,-3.480843119654018
18,-3.491359465503104
19,-3.468441211558379
20,-3.481052041687701
21,-3.4899973223025924
22,-3.4923207687245883
23,-3.475078518714908
24,-3.4701446276182657
25,-3.496190839489085
26,-3.478697140603322
27,-3.483974235786557
28,-3.4798270094537167
29,-3.5149750630216774
30,0.0
