,0
0,1027.2119570115165
1,1025.6876794516843
2,1080.6149632284041
3,828.4077423305816
4,1005.8841287822329
5,915.7124378171383
6,812.6516311841093
7,1012.1823994897738
8,950.3397496645531
9,1166.5244470139864
10,1209.1459482001885
11,1088.3097356224034
12,1295.0452020336752
13,908.0931201579152
14,828.8964498705202
15,1153.3292106746494
16,1325.5913459642338
17,1117.0416876301797
18,1181.713179598232
19,1115.3293316555153
20,1088.8280207912142
21,1283.763149002429
22,1185.1405253377945
23,860.5646116297609
24,956.619579264474
25,1050.7634630854393
26,1101.2256265315036
27,1129.6379980277914
28,869.5358979321891
29,1156.6602664780075
30,0.0
