,0
0,1051.65655906646
1,1166.677177495091
2,1182.384065248466
3,1096.993440010385
4,1037.1817235493604
5,997.9958245200021
6,1056.7733556849125
7,1061.0885566812524
8,1054.2387949432161
9,1030.2253938710408
10,1025.6214898222365
11,1073.965752847455
12,1022.5876219846419
13,1032.5012064182242
14,1030.0642676843047
15,1044.2490551904652
16,1048.0916244036018
17,1070.1508637709253
18,1028.4614437892874
19,1057.3798278952647
20,1048.719381604205
21,1048.487767213009
22,1024.302940317204
23,1054.5806784996792
24,1063.9952022784414
25,1077.3907282336515
26,1055.4464009897604
27,1048.9911354314802
28,1069.747781692775
29,1060.8939804436616
30,0.0
