,0
0,2.497659388026114e-09
1,1.5403158025585677e-06
2,3.896367389775475e-06
3,6.7934950892004755e-06
4,1.0126102397661316e-05
5,1.363838553081101e-05
6,1.733133515831035e-05
7,2.0796101833571498e-05
8,2.452406391457983e-05
9,2.8322086588435746e-05
10,3.2405184736255806e-05
11,3.6399142784855853e-05
12,4.04665888175027e-05
13,4.4337210432781076e-05
14,4.7952355642410084e-05
15,5.120730050054007e-05
16,5.519119514519351e-05
17,5.9053922434341704e-05
18,6.260527068999647e-05
19,6.651673551302857e-05
20,6.991214600268725e-05
21,7.354292781191139e-05
22,7.647762493211396e-05
23,7.984994824158058e-05
24,8.273463555049618e-05
25,8.578298738329473e-05
26,8.875731128992909e-05
27,9.153554932071188e-05
28,9.480743098388061e-05
29,9.774213431031443e-05
30,0.0
