,0
0,-543.3077392578125
1,-539.4671020507812
2,-535.5453491210938
3,-530.3670043945312
4,-517.8619384765625
5,-509.1819152832031
6,-502.6415100097656
7,-499.78656005859375
8,-498.1137390136719
9,-496.4816589355469
10,-495.6819763183594
11,-494.01129150390625
12,-493.0057678222656
13,-492.0303039550781
14,-490.9798889160156
15,-490.1830749511719
16,-489.0539245605469
17,-488.0956726074219
18,-487.22186279296875
19,-486.21600341796875
20,-485.4552307128906
21,-484.38555908203125
22,-483.572509765625
23,-482.6435852050781
24,-481.79937744140625
25,-480.85888671875
26,-479.9517517089844
27,-479.0823974609375
28,-478.2105712890625
29,-477.33184814453125
30,0.0
