,0
0,-543.4273681640625
1,-419.437744140625
2,-312.89764404296875
3,-213.58877563476562
4,-120.3128433227539
5,-14.816802024841309
6,-43.09834289550781
7,-16.919546127319336
8,-13.176446914672852
9,-18.737253189086914
10,-12.028937339782715
11,-10.650618553161621
12,-9.704569816589355
13,-9.94018268585205
14,-9.367024421691895
15,-8.354604721069336
16,-8.057991981506348
17,-8.001409530639648
18,-7.124848365783691
19,-9.115488052368164
20,-6.435175895690918
21,-8.047266006469727
22,-7.388452053070068
23,-5.744595527648926
24,-5.6881256103515625
25,-6.353370666503906
26,-6.814726829528809
27,-5.301473140716553
28,-4.963273048400879
29,-6.157960891723633
30,0.0
