,0
0,-543.5238647460938
1,-540.0272216796875
2,-536.2815551757812
3,-531.8851928710938
4,-522.130126953125
5,-507.8857116699219
6,-500.354736328125
7,-497.6932678222656
8,-497.1461181640625
9,-495.3940734863281
10,-493.570556640625
11,-492.3521728515625
12,-491.0500793457031
13,-490.0145263671875
14,-488.9373779296875
15,-487.99609375
16,-487.06689453125
17,-486.06036376953125
18,-485.1109313964844
19,-484.18133544921875
20,-483.32305908203125
21,-482.35321044921875
22,-481.4576110839844
23,-480.5791015625
24,-479.6728210449219
25,-478.7751159667969
26,-477.90576171875
27,-477.0147705078125
28,-476.14532470703125
29,-475.2648010253906
30,0.0
