,0
0,2.486444306961811e-09
1,1.2759084362181362e-06
2,3.4256088471770137e-06
3,6.1329030608296746e-06
4,9.18610428755902e-06
5,1.2328119786368565e-05
6,1.5645324004684475e-05
7,1.921012426653985e-05
8,2.240745823167851e-05
9,2.645648417002159e-05
10,3.0295385737460833e-05
11,3.396011563153726e-05
12,3.745157375577984e-05
13,4.1302208203367767e-05
14,4.5057999025231247e-05
15,4.8673482474462536e-05
16,5.1978114419855314e-05
17,5.561773700547288e-05
18,5.927076194744118e-05
19,6.230595036379152e-05
20,6.536190482985224e-05
21,6.859416591282042e-05
22,7.179512897167341e-05
23,7.46006806261189e-05
24,7.748451768135538e-05
25,8.153631159882901e-05
26,8.442732305737249e-05
27,8.74034219461399e-05
28,9.054481139137366e-05
29,9.347723703094445e-05
30,0.0
