,0
0,-543.4273681640625
1,-422.3490295410156
2,-370.74072265625
3,-342.4149169921875
4,-293.30145263671875
5,-306.9847717285156
6,-254.897216796875
7,-243.53884887695312
8,-270.8638610839844
9,-328.5168762207031
10,-233.41648864746094
11,-266.9593200683594
12,-242.8586883544922
13,-304.1758728027344
14,-280.7628479003906
15,-297.6377868652344
16,-219.31491088867188
17,-255.92019653320312
18,-284.4902648925781
19,-269.9991760253906
20,-158.86175537109375
21,-214.56558227539062
22,-269.9564208984375
23,-231.64244079589844
24,-217.8502960205078
25,-254.74403381347656
26,-190.7229461669922
27,-106.2855224609375
28,-34.90978240966797
29,-196.7429962158203
30,0.0
