,0
0,543.1752319335938
1,545.2186279296875
2,547.4671630859375
3,550.6307983398438
4,555.1944580078125
5,561.471923828125
6,570.1212768554688
7,581.7767333984375
8,598.6306762695312
9,619.8739624023438
10,649.508056640625
11,687.1920776367188
12,741.5910034179688
13,807.5170288085938
14,896.4951171875
15,1010.041259765625
16,1165.559814453125
17,1329.1217041015625
18,1577.29052734375
19,1835.850830078125
20,2235.275390625
21,2541.395751953125
22,3004.13525390625
23,3514.673828125
24,4322.0078125
25,4809.8427734375
26,5624.865234375
27,6741.1572265625
28,7684.99169921875
29,9214.462890625
30,10426.4765625
31,12051.490234375
32,13459.5634765625
33,15759.525390625
34,17223.189453125
35,20101.02734375
36,22593.30859375
37,24865.61328125
38,28143.07421875
39,32125.00390625
40,35681.67578125
41,39210.95703125
42,44187.16015625
43,47780.390625
44,54503.75
45,58823.34375
46,63910.9296875
47,72839.0625
48,79035.34375
49,87200.859375
50,91006.3359375
51,102652.046875
52,117683.046875
53,126079.5703125
54,129529.171875
55,141536.46875
56,156134.96875
57,173999.25
58,184951.6875
59,195999.578125
60,213384.40625
61,230128.21875
62,244587.625
63,276202.3125
64,287426.75
65,309620.875
66,329110.21875
67,354034.5625
68,395272.34375
69,403355.25
70,449653.5
71,467797.5
72,509930.03125
73,531230.4375
74,558045.6875
75,591968.6875
76,630339.375
77,697383.0
78,705208.875
79,773896.625
80,808498.6875
81,868516.0
82,928013.0
83,938079.0
84,981246.5
85,1035343.875
86,1118543.625
87,1198774.75
88,1253000.5
89,1294569.125
90,1385142.25
91,1491268.0
92,1509295.75
93,1610291.375
94,1712988.25
95,1722887.25
96,1811429.75
97,1903024.75
98,2085986.5
99,2086241.875
100,2345702.5
101,2308681.5
102,2390477.5
103,2446883.5
104,2565062.75
105,2769361.5
106,2777967.0
107,2999208.0
108,3295039.5
109,3264903.5
110,3357418.0
111,3441856.25
112,3839317.0
113,3996929.5
114,4072507.75
115,4298318.0
116,4363446.5
117,4478433.0
118,4814075.0
119,4700923.0
120,5066384.0
121,5455226.0
122,5489474.0
123,5620750.0
124,6005492.0
125,6160012.0
126,6207833.0
127,6793990.0
128,6700535.0
129,7105479.5
130,7266206.0
131,7228913.0
132,7996515.5
133,8237259.0
134,8101760.5
135,8594718.0
136,9005712.0
137,9145322.0
138,9035675.0
139,9856218.0
140,10393466.0
141,10424962.0
142,10701228.0
143,10603490.0
144,11539364.0
145,11640010.0
146,11713036.0
147,12538978.0
148,12945176.0
149,13464418.0
150,13227289.0
151,13681950.0
152,14702461.0
153,14668659.0
154,15537411.0
155,16755040.0
156,16377097.0
157,16761306.0
158,17190220.0
159,18090002.0
160,0.0
