,0
0,-543.2002563476562
1,-544.3839721679688
2,-545.6881103515625
3,-547.5226440429688
4,-550.1323852539062
5,-553.7931518554688
6,-558.9378051757812
7,-565.9806518554688
8,-575.2158813476562
9,-587.325439453125
10,-604.2674560546875
11,-626.1449584960938
12,-653.389404296875
13,-694.6937866210938
14,-749.1697387695312
15,-818.3002319335938
16,-902.2511596679688
17,-1003.117431640625
18,-1136.7578125
19,-1280.1474609375
20,-1490.19677734375
21,-1686.391357421875
22,-1954.2763671875
23,-2233.662109375
24,-2688.996826171875
25,-3055.820556640625
26,-3466.746826171875
27,-4001.86279296875
28,-4607.08349609375
29,-5350.28564453125
30,-5980.26806640625
31,-7001.12548828125
32,-7814.9130859375
33,-8956.8271484375
34,-9960.2998046875
35,-11599.6259765625
36,-12720.224609375
37,-14071.8984375
38,-15466.36328125
39,-18008.28125
40,-20157.681640625
41,-22693.333984375
42,-25047.39453125
43,-26796.40625
44,-30592.248046875
45,-33422.06640625
46,-35509.4609375
47,-39012.32421875
48,-43871.3671875
49,-49352.7109375
50,-52683.5859375
51,-58189.296875
52,-65472.91015625
53,-67742.8671875
54,-71188.15625
55,-80060.40625
56,-87576.2421875
57,-96703.4140625
58,-106673.546875
59,-113251.2734375
60,-118906.2734375
61,-132877.6875
62,-136885.15625
63,-153445.546875
64,-156814.328125
65,-178538.15625
66,-187638.765625
67,-201804.953125
68,-217028.78125
69,-226521.703125
70,-248217.234375
71,-266102.8125
72,-279626.09375
73,-301658.59375
74,-320462.46875
75,-330650.75
76,-358922.03125
77,-384927.875
78,-400843.375
79,-429026.28125
80,-454725.0625
81,-492274.0625
82,-500990.0625
83,-551528.875
84,-551040.3125
85,-586263.1875
86,-626279.4375
87,-664307.875
88,-702472.625
89,-710834.875
90,-794837.25
91,-827878.25
92,-844540.1875
93,-920289.25
94,-947522.8125
95,-989186.75
96,-1020449.1875
97,-1067980.375
98,-1134340.25
99,-1188866.25
100,-1254764.0
101,-1315124.375
102,-1360066.75
103,-1378994.0
104,-1474511.875
105,-1538780.125
106,-1579848.0
107,-1678738.375
108,-1751581.0
109,-1840661.125
110,-1916207.5
111,-1918041.375
112,-2122518.5
113,-2236832.5
114,-2305344.5
115,-2405290.0
116,-2423897.0
117,-2419223.5
118,-2589386.5
119,-2640678.75
120,-2840386.5
121,-2977850.5
122,-3113976.75
123,-3133506.25
124,-3277647.75
125,-3393073.25
126,-3366533.75
127,-3655743.75
128,-3721002.0
129,-3862205.25
130,-4084735.25
131,-4146689.5
132,-4414009.5
133,-4434002.0
134,-4653508.0
135,-4785877.5
136,-4925935.0
137,-4992943.0
138,-5228353.0
139,-5487530.0
140,-5412259.0
141,-5648330.0
142,-5879047.5
143,-6014078.0
144,-6442635.5
145,-6382400.5
146,-6779156.0
147,-6851644.5
148,-6970426.5
149,-7499087.5
150,-7561063.0
151,-7766592.0
152,-8074209.0
153,-8270021.0
154,-8582332.0
155,-9135988.0
156,-8820646.0
157,-9283826.0
158,-9614939.0
159,-9819106.0
160,0.0
