,0
0,0.0004056096076965332
1,3.4213075637817383
2,12.906158447265625
3,33.54869842529297
4,78.99555969238281
5,118.79417419433594
6,207.75439453125
7,353.39752197265625
8,700.2708740234375
9,1438.7489013671875
10,2423.26513671875
11,4234.1357421875
12,6175.232421875
13,10223.376953125
14,17024.8125
15,28807.984375
16,38188.3515625
17,56619.62109375
18,75567.640625
19,100529.046875
20,157120.59375
21,177048.265625
22,232198.734375
23,302690.625
24,347690.78125
25,461134.1875
26,527134.8125
27,657666.0
28,818015.25
29,891395.6875
30,0.0
