,0,1
0,-0.24323327839374542,
1,-2.4623236656188965,
2,-4.050490379333496,
3,-6.613796234130859,
4,-4.904261589050293,
5,-5.790657043457031,
6,-4.945956707000732,
7,-8.22999095916748,
8,-14.291040420532227,
9,-16.546424865722656,
10,-22.26812171936035,
11,-30.322547912597656,
12,-36.11769104003906,
13,-44.4169921875,
14,-64.9329833984375,
15,-54.365455627441406,
16,-30.02366065979004,
17,-59.43840789794922,
18,-37.80949783325195,
19,-48.9608154296875,
20,-46.40642547607422,
21,-41.72063446044922,
22,-47.64130783081055,
23,-39.748252868652344,
24,-58.00186538696289,
25,-51.63835906982422,
26,-30.112794876098633,
27,-27.80022430419922,
28,-65.70024108886719,
29,-36.23684310913086,
30,0.0,0.0
