,0
0,2.4865676058062207e-09
1,2.259076121063443e-06
2,7.671534841331727e-06
3,1.4466701734070974e-05
4,2.2922395443429753e-05
5,3.21956965040535e-05
6,3.969458330179045e-05
7,4.828510893627486e-05
8,5.617622334179606e-05
9,6.515488357456561e-05
10,7.353605751393488e-05
11,8.150676993815317e-05
12,9.01391845303543e-05
13,0.00010033645688469636
14,0.00010890329643767459
15,0.0001159213027175592
16,0.00012350891690013905
17,0.00013194286242369462
18,0.0001390606400769038
19,0.0001495688818534778
20,0.0001577281892324477
21,0.00016381627864909144
22,0.00017130032324483125
23,0.00017679324749855636
24,0.00018400086655511502
25,0.00019162388108065603
26,0.00019921739118290862
27,0.00020780002559437846
28,0.00021497240566998807
29,0.00022151444366404237
30,0.0
