,0,1
0,3.986764340879745e-07,-13.71955680847168
1,-9.542685508728027,
2,-23.1246337890625,
3,-41.95857238769531,
4,-38.47259521484375,
5,-60.401702880859375,
6,-83.4979248046875,
7,-78.67172241210938,
8,-94.00888061523438,
9,-109.79685974121094,
10,-114.6892318725586,
11,-144.25714111328125,
12,-141.24046325683594,
13,-172.32080078125,
14,-136.78970336914062,
15,-141.25003051757812,
16,-200.8818359375,
17,-159.88681030273438,
18,-191.60882568359375,
19,-181.32174682617188,
20,-242.477783203125,
21,-235.80487060546875,
22,-259.9300842285156,
23,-247.68092346191406,
24,-290.3850402832031,
25,-243.3684844970703,
26,-247.10003662109375,
27,-255.02557373046875,
28,-318.2205810546875,
29,-352.4188232421875,
30,0.0,0.0
