,0
0,-543.8479614257812
1,-538.4893798828125
2,-533.0460205078125
3,-525.1070556640625
4,-513.74560546875
5,-494.7940368652344
6,-473.5677490234375
7,-440.54510498046875
8,-400.7244873046875
9,-355.9762268066406
10,-321.9069519042969
11,-274.8171081542969
12,-241.6103057861328
13,-214.23167419433594
14,-208.8036346435547
15,-204.68853759765625
16,-193.59291076660156
17,-180.68614196777344
18,-198.22271728515625
19,-170.0498504638672
20,-210.55589294433594
21,-189.0140380859375
22,-170.2518310546875
23,-184.71133422851562
24,-148.28457641601562
25,-149.25808715820312
26,-113.31343078613281
27,-112.61349487304688
28,-119.81826782226562
29,-142.50308227539062
30,0.0
