,0
0,2.487024815346012e-09
1,1.337168884092398e-06
2,3.561746408198586e-06
3,6.354823537862882e-06
4,9.31920544994915e-06
5,1.2656396835955517e-05
6,1.6243499189751787e-05
7,1.9929957099379922e-05
8,2.3785463438486863e-05
9,2.7161813040466816e-05
10,3.112048866449918e-05
11,3.460023563040241e-05
12,3.8303382095819905e-05
13,4.223503889217321e-05
14,4.618974873444678e-05
15,4.9693045244769025e-05
16,5.317138339618205e-05
17,5.664918160547767e-05
18,6.021228446309043e-05
19,6.383505402779092e-05
20,6.755965543458582e-05
21,7.068264340420953e-05
22,7.396613692601786e-05
23,7.74238331523452e-05
24,8.04741585666763e-05
25,8.387877910348684e-05
26,8.687125623648189e-05
27,9.001647492638731e-05
28,9.292871790198374e-05
29,9.539885378936487e-05
30,0.0
