,0,1
0,0.267749160528183,-0.9745830297470093
1,-2.6848530769348145,
2,-12.855815887451172,
3,-43.06855010986328,
4,-102.90992736816406,
5,-176.61181640625,
6,-311.2196960449219,
7,-388.36773681640625,
8,-662.680419921875,
9,-974.1553955078125,
10,-1192.2640380859375,
11,-1720.974365234375,
12,-2422.709716796875,
13,-3064.8515625,
14,-3339.025634765625,
15,-4227.41796875,
16,-4617.5576171875,
17,-5107.8974609375,
18,-3281.27392578125,
19,-3512.036865234375,
20,-4345.04345703125,
21,-3226.0068359375,
22,-6079.361328125,
23,523.3876342773438,
24,-6843.666015625,
25,-3216.99609375,
26,4463.357421875,
27,8582.0234375,
28,-569.509765625,
29,18336.7265625,
30,0.0,0.0
