,0
0,2.4833303955932462e-09
1,1.2656407115026e-06
2,3.376798777965544e-06
3,5.989888995600363e-06
4,9.116112739033919e-06
5,1.2409363232121672e-05
6,1.588895426646514e-05
7,1.9119353480062997e-05
8,2.267811197581166e-05
9,2.6388656268860587e-05
10,3.034424739596944e-05
11,3.400354994083136e-05
12,3.784444991472809e-05
13,4.1582242666011745e-05
14,4.4764149491859443e-05
15,4.792377284445995e-05
16,5.1808330551975226e-05
17,5.55373290735997e-05
18,5.898893698708607e-05
19,6.296047192223615e-05
20,6.620530062345403e-05
21,6.928586900259048e-05
22,7.184229012282378e-05
23,7.517141806289882e-05
24,7.780812919661185e-05
25,8.080115247795553e-05
26,8.368119131967655e-05
27,8.640548478856974e-05
28,8.956621285032997e-05
29,9.225024649720548e-05
30,0.0
